Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
955,3136,51,UR,2,4,3.1,0.05,,Tree,20,16,4,Yellow,65.68,62,955,3136,51,3.1,0.05,0.988024259
956,3153,16,LF,4,4,2.3,0.03,,Open,17,13.8,1,Yellow,71.18,76.66666667,956,3153,16,2.3,0.03,1.241461752
957,31,107,UF,4,4,2.08,0.04,,Open,20,18.5,5,Yellow-Grey,93.86,52,957,31,107,2.08,0.04,1.221133844
958,3158,14,LF,3,12,5.73,0.05,,Open,20,16.8,7,Yellow,70.65,114.6,958,3158,14,5.73,0.05,1.01217902
959,3131,52,UR,2,4,7.06,0.09,,Tree,20,14.5,7,Grey,63.88,78.44444444,959,3131,52,7.06,0.09,1.060355154
960,3069,3,LN,0,40,1.11,0.1,,Open,20,13.1,3,Yellow,66.29,11.1,960,3069,3,1.11,0.1,1.217954796
961,3154,16,LF,4,4,2.72,0.03,,Tree,20,15.8,4,Yellow,82.79,90.66666667,961,3154,16,2.72,0.03,1.261174678
962,3119,50,UR,4,4,5.01,0.09,,Tree,20,12.9,8,Grey,56.47,55.66666667,962,3119,50,5.01,0.09,1.053616405
963,3154,16,LF,4,4,2.75,0.03,,Tree,20,15.8,4,Yellow,82.79,91.66666667,963,3154,16,2.75,0.03,1.261174678
964,6130,,#N/A,#N/A,#N/A,-0.02,0.00233,12.5% kaolin,N/A,,,,,,-8.583690987,964,6130,,-0.02,0.00233,#DIV/0!
965,3141,17,LF,3,4,3.46,0.04,,Open,20,16.2,3,Yellow,79.63,86.5,965,3141,17,3.46,0.04,1.183085544
966,3096,66,LN,0,40,4.62,0.06,,Tree,20,15.1,9,Yellow,73.79,77,966,3096,66,4.62,0.06,1.176183302
967,3125,49,UR,3,4,3.16,0.05,,Tree,20,16.1,7,Yellow-Grey,87.08,63.2,967,3125,49,3.16,0.05,1.301808164
968,3121,49,UR,3,4,2.23,0.04,,Open,20,14.5,5,Yellow,76.68,55.75,968,3121,49,2.23,0.04,1.272824565
969,3131,52,UR,2,4,7.08,0.09,,Tree,20,14.5,7,Grey,63.88,78.66666667,969,3131,52,7.08,0.09,1.060355154
970,3133,51,UR,2,4,2.08,0.04,,Open,20,15.5,4,Yellow,79.52,52,970,3133,51,2.08,0.04,1.234807105
971,3122,49,UR,3,4,2.54,0.04,,Open,20,15.5,8,Yellow-Grey,76.77,63.5,971,3122,49,2.54,0.04,1.192104395
972,3108A,64,LN,0,40,3.44,0.09,,Tree,20,17.2,8,Grey,76.19,38.22222222,972,3108A,64,3.44,0.09,1.0661639
973,3114,63,LN,0,40,4.02,0.06,,Tree,20,11,4,Yellow,45.62,67,973,3114,63,4.02,0.06,0.998198798
974,3124,49,UR,3,4,8.22,0.1,,Tree,20,9,5,Grey,31.24,82.2,974,3124,49,8.22,0.1,0.835454807
975,3113,63,LN,0,40,1.6,0.03,,Tree,18.5,17.5,6,Yellow,100.03,53.33333333,975,3113,63,1.6,0.03,1.375772635
976,3121,49,UR,3,4,2.25,0.04,,Open,20,14.5,5,Yellow,76.68,56.25,976,3121,49,2.25,0.04,1.272824565
977,3137,51,UR,2,4,3.45,0.05,,Tree,20,16.5,6,Yellow,77.49,69,977,3137,51,3.45,0.05,1.130358393
978,3140,17,LF,3,4,1.68,0.03,,Open,20,15.8,2,Yellow,76.78,56,978,3140,17,1.68,0.03,1.169621835
979,3134,51,UR,2,4,2.88,0.04,,Open,14.5,11.1,4,Yellow,51.66,72,979,3134,51,2.88,0.04,1.120174984
980,3132,52,UR,2,4,10.76,0.16,,Tree,20,12.5,9,Grey,44.45,67.25,980,3132,52,10.76,0.16,0.855886545
981,3138,51,UR,2,4,2.88,0.06,,Tree,20,10.5,4,Yellow,55.07,48,981,3138,51,2.88,0.06,1.262351278
982,3108,62,LN,0,40,2.4,0.07,,Tree,18.5,17.4,10,Grey,82.7,34.28571429,982,3108,62,2.4,0.07,1.143959654
983,3069,3,LN,0,40,1.95,0.03,,Open,20,13.1,3,Yellow,66.29,65,983,3069,3,1.95,0.03,1.217954796
984,5016,28,UF,4,4,3.02,0.02,,Tree,20,15.8,4,Yellow,83,151,984,5016,28,3.02,0.02,1.264373695
985,3103A,64,LN,0,40,3.31,0.09,,Open,20,17.9,7,Grey,93.48,36.77777778,985,3103A,64,3.31,0.09,1.256956127
986,3092,66,LN,0,40,1.2,0.02,,Open,20,17.6,5,Yellow,96.71,60,986,3092,66,1.2,0.02,1.322553235
987,3159,14,LF,3,12,2.84,0.04,,Open,20,18.1,11,Yellow-Grey,101.88,71,987,3159,14,2.84,0.04,1.35476762
988,3114,63,LN,0,40,4.01,0.06,,Tree,20,11,4,Yellow,45.62,66.83333333,988,3114,63,4.01,0.06,0.998198798
989,3159,14,LF,3,12,2.84,0.04,,Open,20,18.1,11,Yellow-Grey,101.88,71,989,3159,14,2.84,0.04,1.35476762
990,3106A,64,LN,0,40,2.11,0.04,,Tree,20,17.4,8,Yellow,93.02,52.75,990,3106A,64,2.11,0.04,1.28671254
991,3075,38,UF,3,4,1.85,0.02,,Open,20,15.7,7,Yellow,90.5,92.5,991,3075,38,1.85,0.02,1.387405377
992,3138,51,UR,2,4,2.89,0.05,,Tree,20,10.5,4,Yellow,55.07,57.8,992,3138,51,2.89,0.05,1.262351278
993,3103A,64,LN,0,40,3.32,0.09,,Open,20,17.9,7,Grey,93.48,36.88888889,993,3103A,64,3.32,0.09,1.256956127
994,3108,62,LN,0,40,2.36,0.07,,Tree,18.5,17.4,10,Grey,82.7,33.71428571,994,3108,62,2.36,0.07,1.143959654
995,3125,49,UR,3,4,3.17,0.05,,Tree,20,16.1,7,Yellow-Grey,87.08,63.4,995,3125,49,3.17,0.05,1.301808164
996,3132,52,UR,2,4,10.76,0.15,,Tree,20,12.5,9,Grey,44.45,71.73333333,996,3132,52,10.76,0.15,0.855886545
997,3141,17,LF,3,4,3.47,0.04,,Open,20,16.2,3,Yellow,79.63,86.75,997,3141,17,3.47,0.04,1.183085544
998,3075,38,UF,3,4,1.85,0.02,,Open,20,15.7,7,Yellow,90.5,92.5,998,3075,38,1.85,0.02,1.387405377
999,3136,51,UR,2,4,3.1,0.05,,Tree,20,16,4,Yellow,65.68,62,999,3136,51,3.1,0.05,0.988024259
1000,3153,16,LF,4,4,2.31,0.03,,Open,17,13.8,1,Yellow,71.18,77,1000,3153,16,2.31,0.03,1.241461752
1001,3084,37,UF,4,4,1.57,0.03,,Open,20,18.4,6,Yellow,104.41,52.33333333,1001,3084,37,1.57,0.03,1.365773618
1002,3018,100,UR,2,12,6.19,0.1,,Tree,20,18.6,10,Grey,78.91,61.9,1002,3018,100,6.19,0.1,1.02111239
1003,3085,61,LN,0,40,1.27,0.02,,Open,20,16,4,Yellow,94.97,63.5,1003,3085,61,1.27,0.02,1.428633738
1004,3027,98,UR,3,4,1.76,0.04,,Open,20,17.3,6,Yellow,95.24,44,1004,3027,98,1.76,0.04,1.32503616
1005,3034,42,UF,5,4,1.95,0.03,,Tree,20,16.6,3,Yellow,94.39,65,1005,3034,42,1.95,0.03,1.368586793
1006,3004,1,LN,0,40,4.5,0.07,,Tree,20,17.2,7,Yellow,77.82,64.28571429,1006,3004,1,4.5,0.07,1.088973286
1007,3083,37,UF,4,4,1,0.01,,Open,20,17.4,2,Yellow,105.53,100,1007,3083,37,1,0.01,1.459758916
1008,6130,,#N/A,#N/A,#N/A,-0.03,0.00213,12.5% kaolin,N/A,,,,,,-14.08450704,1008,6130,,-0.03,0.00213,#DIV/0!
1009,3050,39,UF,2,4,2.17,0.04,,Open,20,18.8,8,Yellow,104.48,54.25,1009,3050,39,2.17,0.04,1.337610783
1010,3011,2,LN,0,40,2.61,0.06,,Open,20,18,6,Grey,96.51,43.5,1010,3011,2,2.61,0.06,1.290488852
1011,3070,3,LN,0,40,2.77,0.06,,Tree,20,17,5,Yellow,91.56,46.16666667,1011,3070,3,2.77,0.06,1.296317277
1012,3007,2,LN,0,40,2.42,0.06,,Tree,20,18,4,Yellow,93.69,40.33333333,1012,3007,2,2.42,0.06,1.252781064
1013,3083,37,UF,4,4,0.98,0.01,,Open,20,17.4,2,Yellow,105.53,98,1013,3083,37,0.98,0.01,1.459758916
1014,3049,39,UF,2,4,1.54,0.03,,Open,20,18.3,6,Yellow,104.99,51.33333333,1014,3049,39,1.54,0.03,1.380865225
1015,3015,100,UR,2,12,1.67,0.04,,Open,17,16.5,3,Yellow,80.46,41.75,1015,3015,100,1.67,0.04,1.173682234
1016,3034,42,UF,5,4,1.99,0.03,,Tree,20,16.6,3,Yellow,94.39,66.33333333,1016,3034,42,1.99,0.03,1.368586793
1017,3068,3,LN,0,40,1.95,0.05,,Open,20,16.6,3,Yellow,91.06,39,1017,3068,3,1.95,0.05,1.320304199
1018,31,107,UF,4,4,2.82,0.08,,Open,20,18.5,5,Yellow-Grey,93.86,35.25,1018,31,107,2.82,0.08,1.221133844
1019,3011,2,LN,0,40,2.61,0.06,,Open,20,18,6,Grey,96.51,43.5,1019,3011,2,2.61,0.06,1.290488852
1020,3015,100,UR,2,12,1.66,0.04,,Open,17,16.5,3,Yellow,80.46,41.5,1020,3015,100,1.66,0.04,1.173682234
1021,3020,97,UR,2,4,1.42,0.05,,Open,20,16.5,3,Yellow,96.62,28.4,1021,3020,97,1.42,0.05,1.409410607
1022,3003,1,LN,0,40,0.74,0.01,,Open,20,18.9,0,Yellow,121.1,74,1022,3003,1,0.74,0.01,1.542186104
1023,3026,98,UR,3,4,1.3,0.03,,Open,20,18.8,2,Yellow,115.01,43.33333333,1023,3026,98,1.3,0.03,1.472421671
1024,3049,39,UF,2,4,1.55,0.03,,Open,20,18.3,6,Yellow,104.99,51.66666667,1024,3049,39,1.55,0.03,1.380865225
1025,3021,97,UR,2,4,2.78,0.04,,Open,20,15.1,6,Yellow,76.45,69.5,1025,3021,97,2.78,0.04,1.218582646
1026,3038,41,UF,6,6,1.06,0.03,,Open,20,17.8,3,Yellow,104.71,35.33333333,1026,3038,41,1.06,0.03,1.41586747
1027,3004,1,LN,0,40,4.46,0.07,,Tree,20,17.2,7,Yellow,77.82,63.71428571,1027,3004,1,4.46,0.07,1.088973286
1028,3018,100,UR,2,12,6.16,0.09,,Tree,20,18.6,10,Grey,78.91,68.44444444,1028,3018,100,6.16,0.09,1.02111239
1029,6131,,#N/A,#N/A,#N/A,2.5,0.05,1% char 1.5% kaolin,N/A,,,,,,50,1029,6131,,2.5,0.05,#DIV/0!
1030,3032,42,UF,5,4,6.17,0.14,,Open,20,18,10,Yellow,94.5,44.07142857,1030,3032,42,6.17,0.14,1.263612025
1031,3050,39,UF,2,4,2.15,0.03,,Open,20,18.8,8,Yellow,104.48,71.66666667,1031,3050,39,2.15,0.03,1.337610783
1032,3013,100,UR,2,12,1.85,0.04,,Open,16.5,16.5,7,Yellow,77.27,46.25,1032,3013,100,1.85,0.04,1.127149219
1033,3068,3,LN,0,40,1.94,0.05,,Open,20,16.6,3,Yellow,91.06,38.8,1033,3068,3,1.94,0.05,1.320304199
1034,3021,97,UR,2,4,2.62,0.07,,Open,20,15.1,6,Yellow,76.45,37.42857143,1034,3021,97,2.62,0.07,1.218582646
1035,3011,2,LN,0,40,2.69,0.04,,Open,20,18,6,Grey,96.51,67.25,1035,3011,2,2.69,0.04,1.290488852
1036,3065,75,UN,0,40,1.11,0.02,,Tree,20,17.8,4,Yellow,111.74,55.5,1036,3065,75,1.11,0.02,1.51092571
1037,3049,39,UF,2,4,1.55,0.03,,Open,20,18.3,6,Yellow,104.99,51.66666667,1037,3049,39,1.55,0.03,1.380865225
1038,3017,100,UR,2,12,1.08,0.01,,Tree,20,17.1,6,Yellow,104.26,108,1038,3017,100,1.08,0.01,1.467493062
1039,3086,61,LN,0,40,2.18,0.03,,Open,20,17,7,Yellow,98.36,72.66666667,1039,3086,61,2.18,0.03,1.392592479
1040,3070,3,LN,0,40,2.76,0.06,,Tree,20,17,5,Yellow,91.56,46,1040,3070,3,2.76,0.06,1.296317277
1041,3093,66,LN,0,40,1,0.02,,Open,20,18.6,7,Yellow,118.51,50,1041,3093,66,1,0.02,1.533544916
1042,3085,61,LN,0,40,1.28,0.02,,Open,20,16,4,Yellow,94.97,64,1042,3085,61,1.28,0.02,1.428633738
1043,3004,1,LN,0,40,4.48,0.07,,Tree,20,17.2,7,Yellow,77.82,64,1043,3004,1,4.48,0.07,1.088973286
1044,3017,100,UR,2,12,1.07,0.02,,Tree,20,17.1,6,Yellow,104.26,53.5,1044,3017,100,1.07,0.02,1.467493062
1045,3068,3,LN,0,40,1.95,0.05,,Open,20,16.6,3,Yellow,91.06,39,1045,3068,3,1.95,0.05,1.320304199
1046,3032,42,UF,5,4,2.51,0.05,,Open,20,18,10,Yellow,94.5,50.2,1046,3032,42,2.51,0.05,1.263612025
1047,3065,75,UN,0,40,1.12,0.02,,Tree,20,17.8,4,Yellow,111.74,56,1047,3065,75,1.12,0.02,1.51092571
1048,3031,42,UF,5,4,1.52,0.04,,Open,20,18,1,Yellow,101.93,38,1048,3031,42,1.52,0.04,1.362962684
1049,3027,98,UR,3,4,1.77,0.04,,Open,20,17.3,6,Yellow,95.24,44.25,1049,3027,98,1.77,0.04,1.32503616
1050,3027,98,UR,3,4,1.76,0.04,,Open,20,17.3,6,Yellow,95.24,44,1050,3027,98,1.76,0.04,1.32503616
1051,3023,97,UR,2,4,2.06,0.07,,Tree,20,18.3,4,Yellow,103.69,29.42857143,1051,3023,97,2.06,0.07,1.36376717
1052,3023,97,UR,2,4,2.07,0.07,,Tree,20,18.3,4,Yellow,103.69,29.57142857,1052,3023,97,2.07,0.07,1.36376717
1053,3086,61,LN,0,40,2.19,0.03,,Open,20,17,7,Yellow,98.36,73,1053,3086,61,2.19,0.03,1.392592479
1054,3022,97,UR,2,4,2.5,0.05,,Tree,20,17.3,7,Yellow,96.14,50,1054,3022,97,2.5,0.05,1.337557501
1055,3070,3,LN,0,40,2.76,0.05,,Tree,20,17,5,Yellow,91.56,55.2,1055,3070,3,2.76,0.05,1.296317277
1056,3038,41,UF,6,6,1.05,0.02,,Open,20,17.8,3,Yellow,104.71,52.5,1056,3038,41,1.05,0.02,1.41586747
1057,3093,66,LN,0,40,1,0.02,,Open,20,18.6,7,Yellow,118.51,50,1057,3093,66,1,0.02,1.533544916
1058,3067,3,LN,0,40,2.12,0.05,,Open,20,17.8,3,Yellow,108.31,42.4,1058,3067,3,2.12,0.05,1.464545943
1059,3020,97,UR,2,4,1.4,0.05,,Open,20,16.5,3,Yellow,96.62,28,1059,3020,97,1.4,0.05,1.409410607
1060,3018,100,UR,2,12,6.14,0.09,,Tree,20,18.6,10,Grey,78.91,68.22222222,1060,3018,100,6.14,0.09,1.02111239
1061,3093,66,LN,0,40,1.02,0.02,,Open,20,18.6,7,Yellow,118.51,51,1061,3093,66,1.02,0.02,1.533544916
1062,3003,1,LN,0,40,0.74,0.01,,Open,20,18.9,0,Yellow,121.1,74,1062,3003,1,0.74,0.01,1.542186104
1063,3026,98,UR,3,4,1.31,0.03,,Open,20,18.8,2,Yellow,115.01,43.66666667,1063,3026,98,1.31,0.03,1.472421671
1064,3067,3,LN,0,40,2.12,0.05,,Open,20,17.8,3,Yellow,108.31,42.4,1064,3067,3,2.12,0.05,1.464545943
1065,3007,2,LN,0,40,2.41,0.05,,Tree,20,18,4,Yellow,93.69,48.2,1065,3007,2,2.41,0.05,1.252781064
1066,3013,100,UR,2,12,0.19,0.00116,,Open,16.5,16.5,7,Yellow,77.27,163.7931034,1066,3013,100,0.19,0.00116,1.127149219
1067,3080,37,UF,4,4,1.8,0.01,,Tree,20,18.2,4,Yellow,92.52,180,1067,3080,37,1.8,0.01,1.223541439
1068,3016,100,UR,2,12,2,0.04,,Tree,17.5,17.2,3,Yellow,81.35,50,1068,3016,100,2,0.04,1.138370301
1069,3023,97,UR,2,4,2.05,0.06,,Tree,20,18.3,4,Yellow,103.69,34.16666667,1069,3023,97,2.05,0.06,1.36376717
1070,3083,37,UF,4,4,0.99,0.01,,Open,20,17.4,2,Yellow,105.53,99,1070,3083,37,0.99,0.01,1.459758916
1071,3021,97,UR,2,4,2.74,0.04,,Open,20,15.1,6,Yellow,76.45,68.5,1071,3021,97,2.74,0.04,1.218582646
1072,3085,61,LN,0,40,1.27,0.02,,Open,20,16,4,Yellow,94.97,63.5,1072,3085,61,1.27,0.02,1.428633738
1073,3034,42,UF,5,4,1.98,0.03,,Tree,20,16.6,3,Yellow,94.39,66,1073,3034,42,1.98,0.03,1.368586793
1074,3038,41,UF,6,6,1.06,0.02,,Open,20,17.8,3,Yellow,104.71,53,1074,3038,41,1.06,0.02,1.41586747
1075,3015,100,UR,2,12,1.66,0.04,,Open,17,16.5,3,Yellow,80.46,41.5,1075,3015,100,1.66,0.04,1.173682234
1076,3022,97,UR,2,4,2.49,0.05,,Tree,20,17.3,7,Yellow,96.14,49.8,1076,3022,97,2.49,0.05,1.337557501
1077,3031,42,UF,5,4,1.52,0.04,,Open,20,18,1,Yellow,101.93,38,1077,3031,42,1.52,0.04,1.362962684
1078,3011,2,LN,0,40,2.61,0.06,,Open,20,18,6,Grey,96.51,43.5,1078,3011,2,2.61,0.06,1.290488852
1079,3032,42,UF,5,4,2.5,0.05,,Open,20,18,10,Yellow,94.5,50,1079,3032,42,2.5,0.05,1.263612025
1080,3022,97,UR,2,4,2.48,0.05,,Tree,20,17.3,7,Yellow,96.14,49.6,1080,3022,97,2.48,0.05,1.337557501
1081,3086,61,LN,0,40,2.19,0.03,,Open,20,17,7,Yellow,98.36,73,1081,3086,61,2.19,0.03,1.392592479
1082,3007,2,LN,0,40,2.42,0.06,,Tree,20,18,4,Yellow,93.69,40.33333333,1082,3007,2,2.42,0.06,1.252781064
1083,3050,39,UF,2,4,2.17,0.04,,Open,20,18.8,8,Yellow,104.48,54.25,1083,3050,39,2.17,0.04,1.337610783
1084,6132,,#N/A,#N/A,#N/A,3.94,0.00784,5% char 1.5% kaolin,N/A,,,,,,502.5510204,1084,6132,,3.94,0.00784,#DIV/0!
1085,3065,75,UN,0,40,1.13,0.02,,Tree,20,17.8,4,Yellow,111.74,56.5,1085,3065,75,1.13,0.02,1.51092571
1086,3080,37,UF,4,4,1.8,0.02,,Tree,20,18.2,4,Yellow,92.52,90,1086,3080,37,1.8,0.02,1.223541439
1087,3011,2,LN,0,40,2.64,0.06,,Open,20,18,6,Grey,96.51,44,1087,3011,2,2.64,0.06,1.290488852
1088,3075,38,UF,3,4,1.88,0.02,,Open,20,15.7,7,Yellow,90.5,94,1088,3075,38,1.88,0.02,1.387405377
1089,3026,98,UR,3,4,1.31,0.03,,Open,20,18.8,2,Yellow,115.01,43.66666667,1089,3026,98,1.31,0.03,1.472421671
1090,3013,100,UR,2,12,1.89,0.04,,Open,16.5,16.5,7,Yellow,77.27,47.25,1090,3013,100,1.89,0.04,1.127149219
1091,3016,100,UR,2,12,2.01,0.04,,Tree,17.5,17.2,3,Yellow,81.35,50.25,1091,3016,100,2.01,0.04,1.138370301
1092,3020,97,UR,2,4,1.41,0.05,,Open,20,16.5,3,Yellow,96.62,28.2,1092,3020,97,1.41,0.05,1.409410607
1093,3080,37,UF,4,4,1.82,0.02,,Tree,20,18.2,4,Yellow,92.52,91,1093,3080,37,1.82,0.02,1.223541439
1094,3003,1,LN,0,40,0.74,0.01,,Open,20,18.9,0,Yellow,121.1,74,1094,3003,1,0.74,0.01,1.542186104
1095,3084,37,UF,4,4,1.6,0.03,,Open,20,18.4,6,Yellow,104.41,53.33333333,1095,3084,37,1.6,0.03,1.365773618
1096,3067,3,LN,0,40,2.13,0.06,,Open,20,17.8,3,Yellow,108.31,35.5,1096,3067,3,2.13,0.06,1.464545943
1097,3016,100,UR,2,12,2.03,0.04,,Tree,17.5,17.2,3,Yellow,81.35,50.75,1097,3016,100,2.03,0.04,1.138370301
1098,3017,100,UR,2,12,1.1,0.02,,Tree,20,17.1,6,Yellow,104.26,55,1098,3017,100,1.1,0.02,1.467493062
1099,3031,42,UF,5,4,1.52,0.04,,Open,20,18,1,Yellow,101.93,38,1099,3031,42,1.52,0.04,1.362962684
1100,3084,37,UF,4,4,1.59,0.03,,Open,20,18.4,6,Yellow,104.41,53,1100,3084,37,1.59,0.03,1.365773618
1101,3115,50,UR,4,4,2.04,0.03,,Open,20,16.8,5,Yellow,91.01,68,1101,3115,50,2.04,0.03,1.303869959
1102,3101,65,LN,0,40,4.72,0.08,,Tree,20,16.5,12,Yellow,73.44,59,1102,3101,65,4.72,0.08,1.071280428
1103,3160,14,LF,3,12,2.35,0.04,,Tree,20,17,10,Yellow-Grey,92.98,58.75,1103,3160,14,2.35,0.04,1.316421804
1104,3151,16,LF,4,4,1.14,0.03,,Open,20,18.5,3,Yellow,104.77,38,1104,3151,16,1.14,0.03,1.363074716
1105,3104A,64,LN,0,40,1.23,0.02,,Open,20,17.8,4,Yellow,106.2,61.5,1105,3104A,64,1.23,0.02,1.436014949
1106,3118,50,UR,4,4,2.52,0.04,,Tree,20,13.5,4,Yellow-Grey,78.35,63,1106,3118,50,2.52,0.04,1.396881864
1107,3145,15,LF,7,4,2.44,0.04,,Open,20,18.5,2,Yellow,99.49,61,1107,3145,15,2.44,0.04,1.294381059
1108,3104,62,LN,0,40,1.27,0.04,,Open,20,18.7,8,Yellow,117.2,31.75,1108,3104,62,1.27,0.04,1.50848311
1109,3148,15,LF,7,4,2.51,0.03,,Tree,20,19,9,Yellow,103.16,83.66666667,1109,3148,15,2.51,0.03,1.306809187
1110,3081,37,UF,4,4,1.54,0.02,,Tree,20,16.3,6,Yellow,87.47,77,1110,3081,37,1.54,0.02,1.291593851
1111,3157,14,LF,3,12,2.2,0.03,,Open,20,17.8,1,Yellow-Grey,92.17,73.33333333,1111,3157,14,2.2,0.03,1.246304123
1112,31,107,UF,4,4,2.86,0.08,,Open,20,18.5,5,Yellow-Grey,93.86,35.75,1112,31,107,2.86,0.08,1.221133844
1113,3105,62,LN,0,40,1.11,0.04,,Open,16,18.6,13,Yellow-Grey,112.27,27.75,1113,3105,62,1.11,0.04,1.452797972
1114,3109,63,LN,0,40,1.32,0.04,,Open,18,17.5,2,Yellow-Grey,105.77,33,1114,3109,63,1.32,0.04,1.4547183
1115,3097,65,LN,0,40,1.86,0.03,,Open,13,11.9,5,Yellow,63.01,62,1115,3097,65,1.86,0.03,1.274432872
1116,3107,62,LN,0,40,5.19,0.08,,Tree,20,17.5,7,Grey,85.15,64.875,1116,3107,62,5.19,0.08,1.171119063
1117,3139,17,LF,3,4,1.92,0.03,,Open,20,16.5,2,Yellow,76.46,64,1117,3139,17,1.92,0.03,1.115333627
1118,3105,62,LN,0,40,1.11,0.04,,Open,16,18.6,13,Yellow-Grey,112.27,27.75,1118,3105,62,1.11,0.04,1.452797972
1119,3109,63,LN,0,40,1.31,0.04,,Open,18,17.5,2,Yellow-Grey,105.77,32.75,1119,3109,63,1.31,0.04,1.4547183
1120,3112,63,LN,0,40,2.65,0.04,,Tree,20,17.7,2,Yellow,87.49,66.25,1120,3112,63,2.65,0.04,1.189705849
1121,3104,62,LN,0,40,1.26,0.03,,Open,20,18.7,8,Yellow,117.2,42,1121,3104,62,1.26,0.03,1.50848311
1122,3145,15,LF,7,4,2.45,0.04,,Open,20,18.5,2,Yellow,99.49,61.25,1122,3145,15,2.45,0.04,1.294381059
1123,3128,52,UR,2,4,3.02,0.05,,Open,20,13.5,9,Yellow,80.8,60.4,1123,3128,52,3.02,0.05,1.44056228
1124,3107A,64,LN,0,40,3.26,0.07,,Tree,17.5,16.4,6,Grey,85.4,46.57142857,1124,3107A,64,3.26,0.07,1.253338756
1125,3162,14,LF,3,12,2.37,0.05,,Tree,20,17.5,17,Grey,91.14,47.4,1125,3162,14,2.37,0.05,1.253503128
1126,3144,17,LF,3,4,3.2,0.06,,Tree,20,14.6,5,Yellow,77.33,53.33333333,1126,3144,17,3.2,0.06,1.274822151
1127,3127,52,UR,2,4,3.52,0.04,,Open,25,23.4,17,Grey,109.65,88,1127,3127,52,3.52,0.04,1.127839304
1128,3112,63,LN,0,40,2.65,0.03,,Tree,20,17.7,2,Yellow,87.49,88.33333333,1128,3112,63,2.65,0.03,1.189705849
1129,3142,17,LF,3,4,8.84,0.08,,Tree,20,10.6,6,Yellow,40.46,110.5,1129,3142,17,8.84,0.08,0.918701573
1130,3107A,64,LN,0,40,3.29,0.07,,Tree,17.5,16.4,6,Grey,85.4,47,1130,3107A,64,3.29,0.07,1.253338756
1131,3146,15,LF,7,4,2.39,0.03,,Open,20,18.5,2,Yellow,95.46,79.66666667,1131,3146,15,2.39,0.03,1.241950104
1132,3102,65,LN,0,40,2.61,0.04,,Tree,20,14.1,6,Yellow,68.42,65.25,1132,3102,65,2.61,0.04,1.167934275
1133,3129,52,UR,2,4,2.9,0.03,,Open,20,15,7,Yellow,70.21,96.66666667,1133,3129,52,2.9,0.03,1.126580321
1134,3160,14,LF,3,12,2.32,0.04,,Tree,20,17,10,Yellow-Grey,92.98,58,1134,3160,14,2.32,0.04,1.316421804
1135,3161,14,LF,3,12,2.36,0.04,,Tree,20,18,10,Grey,103.09,59,1135,3161,14,2.36,0.04,1.378473689
1136,3115,50,UR,4,4,2.02,0.03,,Open,20,16.8,5,Yellow,91.01,67.33333333,1136,3115,50,2.02,0.03,1.303869959
1137,3157,14,LF,3,12,2.24,0.03,,Open,20,17.8,1,Yellow-Grey,92.17,74.66666667,1137,3157,14,2.24,0.03,1.246304123
1138,3103,62,LN,0,40,1.67,0.05,,Open,20,16,8,Grey,97.58,33.4,1138,3103,62,1.67,0.05,1.467895969
1139,3079,37,UF,4,4,2.37,0.02,,Tree,20,14.9,2,Yellow,79.97,118.5,1139,3079,37,2.37,0.02,1.291799982
1140,3151,16,LF,4,4,1.13,0.03,,Open,20,18.5,3,Yellow,104.77,37.66666667,1140,3151,16,1.13,0.03,1.363074716
1141,3145,15,LF,7,4,2.45,0.04,,Open,20,18.5,2,Yellow,99.49,61.25,1141,3145,15,2.45,0.04,1.294381059
1142,3139,17,LF,3,4,1.92,0.04,,Open,20,16.5,2,Yellow,76.46,48,1142,3139,17,1.92,0.04,1.115333627
1143,3162,14,LF,3,12,2.38,0.05,,Tree,20,17.5,17,Grey,91.14,47.6,1143,3162,14,2.38,0.05,1.253503128
1144,3144,17,LF,3,4,3.51,0.04,,Tree,20,14.6,5,Yellow,77.33,87.75,1144,3144,17,3.51,0.04,1.274822151
1145,3081,37,UF,4,4,1.55,0.02,,Tree,20,16.3,6,Yellow,87.47,77.5,1145,3081,37,1.55,0.02,1.291593851
1146,3107A,64,LN,0,40,3.28,0.07,,Tree,17.5,16.4,6,Grey,85.4,46.85714286,1146,3107A,64,3.28,0.07,1.253338756
1147,6130,,#N/A,#N/A,#N/A,-0.03,0.0018,12.5% kaolin,N/A,,,,,,-16.66666667,1147,6130,,-0.03,0.0018,#DIV/0!
1148,3150,15,LF,7,4,2.31,0.04,,Tree,20,19.2,2,Yellow,102.45,57.75,1148,3150,15,2.31,0.04,1.28429615
1149,3097,65,LN,0,40,1.89,0.03,,Open,13,11.9,5,Yellow,63.01,63,1149,3097,65,1.89,0.03,1.274432872
1150,3128,52,UR,2,4,3.03,0.05,,Open,20,13.5,9,Yellow,80.8,60.6,1150,3128,52,3.03,0.05,1.44056228
1151,3101,65,LN,0,40,4.7,0.08,,Tree,20,16.5,12,Yellow,73.44,58.75,1151,3101,65,4.7,0.08,1.071280428
