Sticker_No,Core_No,Plot,Treatment,fires_since_1986,TSF,Total_carbon,Total_nitrogen,Standard,TreeOpen,CoreDepth,SoilDepth,TopsoilDepth,SoilColour,Weight (g),RatioC:N,Sticker_No,Core_No,Plot,Total_carbon,Total_nitrogen,Bulk_Den_g/cm3
112,6,104,UF,4,6,1.95,0.03,,Tree,18.5,17.2,3,Yellow,95.28,65,112,6,104,1.95,0.03,1.333299598
113,6,104,UF,4,6,1.97,0.03,,Tree,18.5,17.2,3,Yellow,95.28,65.66666667,113,6,104,1.97,0.03,1.333299598
114,12,105,UF,5,4,7.06,0.1,,Tree,19,14.4,5,Grey,61.74,70.6,114,12,105,7.06,0.1,1.03194982
115,116,31,LR,3,4,2.18,0.03,,Open,20,15,5,Yellow,73.58,72.66666667,115,116,31,2.18,0.03,1.180654892
116,66,70,UR,4,4,4.24,0.01,,Tree,13,12.8,3,Yellow,58.28,424,116,66,70,4.24,0.01,1.095882571
117,6132,,#N/A,#N/A,#N/A,3.9,0,5% char 1.5% kaolin,N/A,,,,,,#DIV/0!,117,6132,,3.9,0,#DIV/0!
118,58,71,UR,3,4,4.5,0.01,,Tree,20,15.2,7,Grey,67.17,450,118,58,71,4.5,0.01,1.063619294
119,110,32,LR,3,4,1.45,0,,Open,20,18,4,Yellow,101.64,#DIV/0!,119,110,32,1.45,0,1.359084933
120,78,7,LF,6,4,2.78,0,,Tree,20,17.8,7,Yellow,89.92,#DIV/0!,120,78,7,2.78,0,1.215880078
121,52,68,UR,1,4,4.9,0,,Tree,17.5,14.5,2,Yellow-Grey,66.32,#DIV/0!,121,52,68,4.9,0,1.100857136
122,65,70,UR,4,4,3.27,0,,Tree,15,14.3,1,Yellow,73.95,#DIV/0!,122,65,70,3.27,0,1.244676779
123,117,31,LR,3,4,2.8,0.05,,Open,20,14,4,Yellow,69.86,56,123,117,31,2.8,0.05,1.201033143
124,31,107,UF,4,4,2.78,0.14,,Open,20,18.5,5,Yellow-Grey,93.86,19.85714286,124,31,107,2.78,0.14,1.221133844
125,61,70,UR,4,4,1.34,0.22,,Open,16,16,1,Yellow,100.75,6.090909091,125,61,70,1.34,0.22,1.515582279
126,85,9,LF,5,4,1.62,0.42,,Open,17,16,2,Yellow,89.35,3.857142857,126,85,9,1.62,0.42,1.344092076
127,48,67,UR,3,4,3.72,0.55,,Tree,20,15,7,Yellow,67.98,6.763636364,127,48,67,3.72,0.55,1.090798037
128,112,32,LR,3,4,2.85,0.66,,Tree,20,12,4,Yellow,58.8,4.318181818,128,112,32,2.85,0.66,1.179371223
129,3075,38,UF,3,4,1.85,0.75,,Open,20,15.7,7,Yellow,90.5,2.466666667,129,3075,38,1.85,0.75,1.387405377
130,114,32,LR,3,4,4.93,0.86,,Tree,20,14.4,4,Yellow,76.7,5.73255814,130,114,32,4.93,0.86,1.281997914
131,116,31,LR,3,4,2.14,0.95,,Open,20,15,5,Yellow,73.58,2.252631579,131,116,31,2.14,0.95,1.180654892
132,32,107,UF,4,4,2.24,1.14,,Open,20,18.8,7,Yellow-Grey,98.34,1.964912281,132,32,107,2.24,1.14,1.259003105
133,48,67,UR,3,4,3.7,1.26,,Tree,20,15,7,Yellow,67.98,2.936507937,133,48,67,3.7,1.26,1.090798037
134,99,35,LR,3,4,5.57,1.42,,Open,11,9.5,9,Grey,39.25,3.922535211,134,99,35,5.57,1.42,0.994421493
135,27,108,UF,3,6,2.12,1.48,,Open,20,15.5,7,Yellow,78.32,1.432432432,135,27,108,2.12,1.48,1.216173195
136,27,108,UF,3,6,2.12,1.66,,Open,20,15.5,7,Yellow,78.32,1.277108434,136,27,108,2.12,1.66,1.216173195
137,100,35,LR,3,4,1.81,1.59,,Tree,16,16,5,Yellow,94.63,1.13836478,137,100,35,1.81,1.59,1.423519118
138,103,36,LR,1,4,1.78,1.73,,Open,20,14.5,7,Yellow,80.22,1.028901734,138,103,36,1.78,1.73,1.331585637
139,87,9,LF,5,4,1.54,1.98,,Open,20,17.8,2,Yellow-Grey,102.18,0.777777778,139,87,9,1.54,1.98,1.381657321
